"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"313","RT @cobbo3: Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now that they l…",FALSE,0,NA,2017-12-01 08:18:26,FALSE,NA,"936509783288504321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spinellibarrile",32,TRUE,FALSE,NA,NA
"314","RT @cobbo3: Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now that they l…",FALSE,0,NA,2017-12-01 08:17:54,FALSE,NA,"936509647141441537",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","David_Indeje",32,TRUE,FALSE,NA,NA
"315","RT @cobbo3: Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now that they l…",FALSE,0,NA,2017-12-01 08:17:34,FALSE,NA,"936509564484284416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","carolinasucre",32,TRUE,FALSE,NA,NA
"316","Interesting seeing leading defenders of dictatorship under #Mugabe in #Zimbabwe have become democracy advocates now… https://t.co/eo315eZets",FALSE,63,NA,2017-12-01 08:16:21,TRUE,NA,"936509259575152640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cobbo3",32,FALSE,FALSE,NA,NA
"317","RT @ED_Josp: @TembaMliswa #Zimbabwe After this cabinet appointment, #Mnangagwa and #Mugabe<ed><U+00A0><U+00BD><ed><U+00B1><U+0087><ed><U+00A0><U+00BC><ed><U+00BF><U+00BF> https://t.co/cXOVynT0sA",FALSE,0,NA,2017-12-01 08:15:19,FALSE,NA,"936509000916656128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bayhaus",10,TRUE,FALSE,NA,NA
"318","RT @thevincecarter: Africans: While we wait for #Mugabe to step down https://t.co/Vn4A1gBOFD",FALSE,0,NA,2017-12-01 08:11:44,FALSE,NA,"936508096280715264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ali_alagoz4",95,TRUE,FALSE,NA,NA
"319","Most Nigerians are getting to know today is not ordinary day,we are celebrating a birth date of some1 special.… https://t.co/zMBvLhbQE3",FALSE,2,NA,2017-12-01 08:10:11,TRUE,NA,"936507709188378624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ibcityannouncer",1,FALSE,FALSE,NA,NA
"320","'The wonder-&amp; the shame- is that #Mugabe lasted so long. There's much to learn from the failure of his revolution'… https://t.co/f1nDie8q6j",FALSE,0,NA,2017-12-01 08:09:05,TRUE,NA,"936507429621325824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AresePollard",0,FALSE,FALSE,NA,NA
"321","Zimbabwe's President ED Munangagwa announces his Cabinet with many ministers from #Mugabe Era retaining resurfacing #AJEnglish @rbarwanda",FALSE,0,NA,2017-12-01 08:04:17,FALSE,NA,"936506221141659649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NSixbert",0,FALSE,FALSE,NA,NA
"322","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 08:02:21,FALSE,NA,"936505734518464512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","uchihamwalimu",121,TRUE,FALSE,NA,NA
"323","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 07:58:14,FALSE,NA,"936504698743508992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KhalidIntellect",121,TRUE,FALSE,NA,NA
"324","RT @DougColtart: Thousands have gathered outside Parliament as MPs arrive for the expected impeachment vote.  #ImpeachmentParty #Mugabe #Zi…",FALSE,0,NA,2017-12-01 07:53:13,FALSE,NA,"936503436073242624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aztecsamurai23",243,TRUE,FALSE,NA,NA
"325","@haaretzcom @AnshelPfeffer As much as I disdain @IsraeliPM @netanyahu this bozo is an global accident waiting to ha… https://t.co/4WRWJrfctJ",FALSE,0,"haaretzcom",2017-12-01 07:51:55,TRUE,"936497847431725056","936503110503149568","24506246","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fall_sapphire",0,FALSE,FALSE,NA,NA
"326","Zimbabweans Checking and Scrutinizing the new cabinet like. Has anything changed between Gushungo &amp; Ngwena New Cabi… https://t.co/IYO3td6cN0",FALSE,28,NA,2017-12-01 07:48:16,TRUE,NA,"936502191480885248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nguvayakwana",19,FALSE,FALSE,NA,NA
"327","RT @dewamavhinga: Breaking: #Mnangagwa includes Military generals who spearheaded the coup against #Mugabe in new cabinet - Air Marshall Pe…",FALSE,0,NA,2017-12-01 07:48:05,FALSE,NA,"936502145091801088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prodzangwendez",121,TRUE,FALSE,NA,NA
"328","@HonMnangagwa The more things change, the more they stay the same. Told u fellas long time ago that this #Mnangarwa… https://t.co/QIqXymVCwm",FALSE,0,"HonMnangagwa",2017-12-01 07:42:12,TRUE,"936342585278369796","936500664481566722","931057837425483776","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PluckyNemes",0,FALSE,FALSE,NA,NA
"329","Va #Mnangagwa, isu vana ve #Zimbabwe we marched for change, not a swap and top of #Mugabe and his failed policies.",FALSE,0,NA,2017-12-01 07:37:16,FALSE,NA,"936499423101816832",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows</a>","rock4us2",0,FALSE,FALSE,NA,NA
"330","RT @lutsekeZA: Meeting with #Mugabe <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>(LIKE&amp;RT) #Zimbabawe #siviwelutseke https://t.co/61dDcIbiYS",FALSE,0,NA,2017-12-01 07:31:47,FALSE,NA,"936498044966760448",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","sam_kidsam",618,TRUE,FALSE,NA,NA
